Stock_Number,price,up_down,Quote_change,Highest,lowest,price_gap,Trading_volume,Transaction_amount(100 million)
00940.TW,9.53,0.29,2.95%,9.77,9.53,0.24,"659,605",63.3610
00632R.TW,3.99,0.12,3.10%,4.01,3.91,0.10,"443,080",17.5619
00929.TW,20.30,0.55,2.64%,20.64,20.30,0.34,"348,054",70.9801
00919.TW,24.54,0.68,2.70%,25.05,24.50,0.55,"263,473",65.0125
1609.TW,53.60,2.00,3.60%,57.40,53.60,3.80,"230,673",127.7543
2317.TW,141.00,5.00,3.42%,143.00,137.50,5.50,"175,093",245.1813
00878.TW,22.00,0.51,2.27%,22.40,21.92,0.48,"155,627",34.3691
2371.TW,58.50,2.90,4.72%,60.80,57.80,3.00,"145,762",86.1860
00939.TW,14.28,0.42,2.86%,14.62,14.26,0.36,"137,232",19.6979
2867.TW,6.14,0.26,4.42%,6.40,5.72,0.68,"129,895",7.8905
0056.TW,38.49,1.13,2.85%,39.15,38.27,0.88,"116,359",44.9526
3231.TW,114.00,5.50,4.60%,118.50,112.50,6.00,"97,161",111.6797
3481.TW,13.65,0.45,3.19%,14.05,13.55,0.50,"89,961",12.3286
2618.TW,31.00,0.70,2.21%,31.70,30.95,0.75,"89,743",27.9859
2303.TW,50.10,1.50,2.91%,51.00,50.10,0.90,"85,234",42.9960
2883.TW,13.25,0.40,2.93%,13.60,13.10,0.50,"84,975",11.3160
1618.TW,48.30,0.95,2.01%,51.00,48.10,2.90,"82,629",40.7486
1513.TW,190.50,12.50,6.16%,201.00,189.00,12.00,"76,276",147.7305
00637L.TW,13.55,0.08,0.59%,13.56,13.25,0.31,"72,935",9.7923
00665L.TW,5.58,0.15,2.62%,5.66,5.52,0.14,"70,961",3.9593
00680L.TW,8.01,0.17,2.08%,8.06,7.99,0.07,"67,207",5.3898
2891.TW,30.95,1.00,3.13%,32.05,30.90,1.15,"66,139",20.6684
2353.TW,45.50,2.05,4.31%,47.50,45.00,2.50,"62,586",28.7436
2515.TW,15.15,0.70,4.42%,15.75,14.90,0.85,"59,086",8.9700
2344.TW,25.50,1.15,4.32%,26.50,25.30,1.20,"59,067",15.2503
2630.TW,43.70,0.90,2.02%,47.60,41.50,6.10,"56,254",25.4160
2367.TW,26.40,1.80,6.38%,27.95,26.00,1.95,"55,337",14.7699
2888.TW,8.05,0.14,1.71%,8.18,8.03,0.15,"52,119",4.2103
2634.TW,55.40,2.60,4.48%,59.80,54.30,5.50,"51,160",28.9552
2884.TW,26.30,0.75,2.77%,27.00,26.20,0.80,"50,869",13.4956
2330.TW,788.00,18.00,2.23%,803.00,785.00,18.00,"49,412",391.1173
1608.TW,36.80,2.20,5.64%,39.70,36.80,2.90,"48,646",18.3738
1605.TW,38.05,1.55,3.91%,40.00,37.85,2.15,"48,240",18.7340
2382.TW,249.50,11.50,4.41%,261.50,248.00,13.50,"46,395",117.0867
2356.TW,53.90,2.10,3.75%,55.90,53.30,2.60,"45,374",24.6270
00941.TW,15.10,0.15,0.98%,15.19,15.06,0.13,"44,775",6.7586
2409.TW,17.60,0.30,1.68%,17.90,17.45,0.45,"42,695",7.5333
1101.TW,32.45,0.10,0.31%,33.30,32.40,0.90,"42,491",13.9388
00650L.TW,8.43,0.27,3.10%,8.58,8.37,0.21,"42,234",3.5748
2301.TW,95.30,6.70,6.57%,101.00,94.10,6.90,"39,054",37.8512
00918.TW,22.87,0.55,2.35%,23.21,22.67,0.54,"36,884",8.4384
00712.TW,9.30,0.09,0.96%,9.31,9.28,0.03,"36,806",3.4215
2887.TW,17.40,0.45,2.52%,17.85,17.40,0.45,"36,544",6.4167
2363.TW,63.00,1.00,1.61%,63.50,59.40,4.10,"36,314",22.3510
2603.TW,170.50,7.50,4.21%,177.50,170.00,7.50,"36,213",62.4464
2834.TW,15.80,0.25,1.56%,16.05,15.80,0.25,"35,887",5.6947
00927.TW,19.02,0.61,3.11%,19.41,18.95,0.46,"34,885",6.6742
2882.TW,47.85,1.10,2.25%,48.80,47.55,1.25,"34,227",16.4394
00885.TW,11.90,0.60,4.80%,12.10,11.86,0.24,"34,192",4.0932
00753L.TW,6.65,0.20,2.92%,6.76,6.60,0.16,"33,180",2.2154
2009.TW,51.20,0.50,0.99%,54.30,50.20,4.10,"31,849",16.7767
00688L.TW,7.96,0.17,2.09%,8.01,7.94,0.07,"31,099",2.4781
